va,vb,exp,sim,sign_error,exp_error,man_error
89ad,f1a3,4000,3fff,False,1,-1023
d473,652c,fc00,fdc0,False,0,-448
86e8,5408,9ef6,9ef5,False,0,1
20af,623b,474c,474b,False,0,1
0720,8d22,8001,8000,False,0,1
ce13,ebe8,7c00,7e00,False,0,-512
cefe,9950,2ca5,2ca4,False,0,1
6942,cc3c,f991,f990,False,0,1
85f7,2110,800f,8000,False,0,15
09ce,da73,a8ae,a8ad,False,0,1
bae0,cc9d,4bee,4bed,False,0,1
b26e,c3ed,3a5f,3a5e,False,0,1
7068,3d58,71e3,71e2,False,0,1
4898,b149,be12,be11,False,0,1
1ca1,5aac,3bb9,3bb8,False,0,1
e950,049b,b21e,b21d,False,0,1
4836,09d9,1628,1627,False,0,1
bfd4,b867,3c4f,3c4e,False,0,1
84c4,d580,1e8e,1e8d,False,0,1
2a7f,86e6,805a,8000,False,0,90
8c9c,5adc,abe8,abe7,False,0,1
a6a5,df87,4a41,4a40,False,0,1
06b0,fafb,c5d6,c5d5,False,0,1
bcde,a7ec,28d2,28d1,False,0,1
b0fa,1ef0,9451,9450,False,0,1
49db,a983,b809,b808,False,0,1
8e49,8be2,0002,0000,False,0,2
226e,123a,00a0,0000,False,0,160
074f,49c0,1541,1540,False,0,1
e948,3f3b,ecc6,ecc5,False,0,1
cf44,b5c1,493a,4939,False,0,1
9693,0a5c,8005,8000,False,0,5
3407,07b8,01f1,0000,False,0,497
a7cd,8e2e,00c1,0000,False,0,193
0fbb,1cd6,0025,0000,False,0,37
8f6f,b640,09cf,09ce,False,0,1
faea,1f57,de58,de57,False,0,1
eda3,2418,d5c5,d5c4,False,0,1
10c8,daf4,b028,b027,False,0,1
a4b8,a569,0e62,0e61,False,0,1
384c,949c,90f4,90f3,False,0,1
8436,7ae1,c33e,c33d,False,0,1
6cb8,cd53,fc00,fe47,False,0,-583
4b03,c0d0,d038,d037,False,0,1
d076,ad52,41ef,41ee,False,0,1
4292,ed99,f499,f498,False,0,1
a954,0d57,80e4,8000,False,0,228
a514,9532,01a6,0000,False,0,422
3d0c,c45f,c584,c583,False,0,1
075f,2800,003b,0000,False,0,59
82ea,5a19,a071,a145,False,0,-212
8de2,43ad,95a5,95a4,False,0,1
68c4,22f5,5025,5024,False,0,1
3795,ce10,c9bf,c9be,False,0,1
e370,d2cd,7a53,7a52,False,0,1
2b28,b0c1,a041,a040,False,0,1
a7ca,9194,015c,0000,False,0,348
21a0,90fb,8070,8000,False,0,112
68c4,9032,bd00,bcff,False,0,1
0b18,d078,9fed,9fec,False,0,1
aaf0,0130,8010,8000,False,0,16
60e8,3fdd,64d3,64d2,False,0,1
dc08,42fa,e308,e307,False,0,1
540c,6136,7946,7945,False,0,1
